,period,period_label,series,value
0,2025-01-01T00:00:00.000,Jan-25,Baseload,96.6898387096774
1,2025-02-01T00:00:00.000,Feb-25,Baseload,108.30782738095238
2,2025-03-01T00:00:00.000,Mar-25,Baseload,53.09450874831763
3,2025-04-01T00:00:00.000,Apr-25,Baseload,26.809138888888892
4,2025-05-01T00:00:00.000,May-25,Baseload,16.92752688172043
5,2025-06-01T00:00:00.000,Jun-25,Baseload,72.59720833333333
6,2025-07-01T00:00:00.000,Jul-25,Baseload,70.01465053763442
7,2025-08-01T00:00:00.000,Aug-25,Baseload,68.44469086021506
8,2025-09-01T00:00:00.000,Sep-25,Baseload,61.04233333333334
9,2025-10-01T00:00:00.000,Oct-25,Baseload,75.77325100806452
10,2025-11-01T00:00:00.000,Nov-25,Baseload,58.64912499999999
11,2025-12-01T00:00:00.000,Dec-25,Baseload,77.90485887096774
12,2026-01-01T00:00:00.000,Jan-26,Baseload,71.67187836021506
13,2026-02-01T00:00:00.000,Feb-26,Baseload,16.409776785714286
14,2026-03-01T00:00:00.000,Mar-26,Baseload,41.76646029609691
15,2026-04-01T00:00:00.000,Apr-26,Baseload,42.44402777777778
16,2026-05-01T00:00:00.000,May-26,Baseload,54.2253998655914
17,2026-06-01T00:00:00.000,Jun-26,Baseload,69.59261111111111
18,2026-07-01T00:00:00.000,Jul-26,Baseload,104.74659274193547
19,2026-08-01T00:00:00.000,Aug-26,Baseload,118.2449563172043
20,2026-09-01T00:00:00.000,Sep-26,Baseload,142.64355324074074
21,2025-01-01T00:00:00.000,Jan-25,Hybrid w/o demand,127.48119459363494
22,2025-02-01T00:00:00.000,Feb-25,Hybrid w/o demand,157.88868543472847
23,2025-03-01T00:00:00.000,Mar-25,Hybrid w/o demand,87.54795421057213
24,2025-04-01T00:00:00.000,Apr-25,Hybrid w/o demand,53.67935799031575
25,2025-05-01T00:00:00.000,May-25,Hybrid w/o demand,33.52096743059798
26,2025-06-01T00:00:00.000,Jun-25,Hybrid w/o demand,96.01864919081969
27,2025-07-01T00:00:00.000,Jul-25,Hybrid w/o demand,87.72397938887593
28,2025-08-01T00:00:00.000,Aug-25,Hybrid w/o demand,90.96571771344486
29,2025-09-01T00:00:00.000,Sep-25,Hybrid w/o demand,96.79142106618552
30,2025-10-01T00:00:00.000,Oct-25,Hybrid w/o demand,119.40034844930912
31,2025-11-01T00:00:00.000,Nov-25,Hybrid w/o demand,101.94248621319178
32,2025-12-01T00:00:00.000,Dec-25,Hybrid w/o demand,103.61689105877016
33,2026-01-01T00:00:00.000,Jan-26,Hybrid w/o demand,98.31168152785843
34,2026-02-01T00:00:00.000,Feb-26,Hybrid w/o demand,58.963838727816444
35,2026-03-01T00:00:00.000,Mar-26,Hybrid w/o demand,73.9303388292591
36,2026-04-01T00:00:00.000,Apr-26,Hybrid w/o demand,71.34448461169006
37,2026-05-01T00:00:00.000,May-26,Hybrid w/o demand,82.78335474623664
38,2026-06-01T00:00:00.000,Jun-26,Hybrid w/o demand,92.236470401572
39,2026-07-01T00:00:00.000,Jul-26,Hybrid w/o demand,133.15327425341758
40,2026-08-01T00:00:00.000,Aug-26,Hybrid w/o demand,160.66224610445187
41,2026-09-01T00:00:00.000,Sep-26,Hybrid w/o demand,198.4672155889213
42,2025-01-01T00:00:00.000,Jan-25,Hybrid w. demand,205.88209698410702
43,2025-02-01T00:00:00.000,Feb-25,Hybrid w. demand,192.17767626201106
44,2025-03-01T00:00:00.000,Mar-25,Hybrid w. demand,95.23462283280499
45,2025-04-01T00:00:00.000,Apr-25,Hybrid w. demand,58.02334941310377
46,2025-05-01T00:00:00.000,May-25,Hybrid w. demand,36.39087474094349
47,2025-06-01T00:00:00.000,Jun-25,Hybrid w. demand,98.64283741425945
48,2025-07-01T00:00:00.000,Jul-25,Hybrid w. demand,89.60011552890231
49,2025-08-01T00:00:00.000,Aug-25,Hybrid w. demand,93.7537073872307
50,2025-09-01T00:00:00.000,Sep-25,Hybrid w. demand,105.97728811013918
51,2025-10-01T00:00:00.000,Oct-25,Hybrid w. demand,152.7461843712829
52,2025-11-01T00:00:00.000,Nov-25,Hybrid w. demand,162.18335303892138
53,2025-12-01T00:00:00.000,Dec-25,Hybrid w. demand,181.66266392388457
54,2026-01-01T00:00:00.000,Jan-26,Hybrid w. demand,157.49578897813385
55,2026-02-01T00:00:00.000,Feb-26,Hybrid w. demand,70.89333500671843
56,2026-03-01T00:00:00.000,Mar-26,Hybrid w. demand,80.52908915217817
57,2026-04-01T00:00:00.000,Apr-26,Hybrid w. demand,75.8076335702009
58,2026-05-01T00:00:00.000,May-26,Hybrid w. demand,87.78444373227703
59,2026-06-01T00:00:00.000,Jun-26,Hybrid w. demand,94.38375915929775
60,2026-07-01T00:00:00.000,Jul-26,Hybrid w. demand,135.84438856492827
61,2026-08-01T00:00:00.000,Aug-26,Hybrid w. demand,165.01374282558663
62,2026-09-01T00:00:00.000,Sep-26,Hybrid w. demand,213.320436002299
63,2025-01-01T00:00:00.000,Jan-25,PV uncurtailed captured price,85.38317831333877
64,2025-02-01T00:00:00.000,Feb-25,PV uncurtailed captured price,76.7724283057054
65,2025-03-01T00:00:00.000,Mar-25,PV uncurtailed captured price,26.795112553249997
66,2025-04-01T00:00:00.000,Apr-25,PV uncurtailed captured price,6.195230584189239
67,2025-05-01T00:00:00.000,May-25,PV uncurtailed captured price,1.811773629498845
68,2025-06-01T00:00:00.000,Jun-25,PV uncurtailed captured price,36.40045035667989
69,2025-07-01T00:00:00.000,Jul-25,PV uncurtailed captured price,42.029814658266815
70,2025-08-01T00:00:00.000,Aug-25,PV uncurtailed captured price,32.93369256213958
71,2025-09-01T00:00:00.000,Sep-25,PV uncurtailed captured price,23.75461018835427
72,2025-10-01T00:00:00.000,Oct-25,PV uncurtailed captured price,42.99273290011519
73,2025-11-01T00:00:00.000,Nov-25,PV uncurtailed captured price,31.097927901009488
74,2025-12-01T00:00:00.000,Dec-25,PV uncurtailed captured price,64.52852989948845
75,2026-01-01T00:00:00.000,Jan-26,PV uncurtailed captured price,63.716582468164354
76,2026-02-01T00:00:00.000,Feb-26,PV uncurtailed captured price,2.7387158202663135
77,2026-03-01T00:00:00.000,Mar-26,PV uncurtailed captured price,14.960656887595462
78,2026-04-01T00:00:00.000,Apr-26,PV uncurtailed captured price,10.29035496180733
79,2026-05-01T00:00:00.000,May-26,PV uncurtailed captured price,14.997923864859029
80,2026-06-01T00:00:00.000,Jun-26,PV uncurtailed captured price,30.59880579657587
81,2026-07-01T00:00:00.000,Jul-26,PV uncurtailed captured price,57.38013869123076
82,2026-08-01T00:00:00.000,Aug-26,PV uncurtailed captured price,49.05955607550646
83,2026-09-01T00:00:00.000,Sep-26,PV uncurtailed captured price,66.08398196614668
